Vpin ID,X coordinate,Y coordinate,WL down to L1,Pin Type,NumberLayer One Pins,Ave Cell Area Input,Ave Cell Area Output,Ave Pin X coordinate,Ave Pin Y coordinate,CongestionCrouting,CongestionPlacement,Matching Vpin ID
S71,10144,3560,11,I,1,45.0,0.0,10144.0,3680.0,0.08673469387755102,0.060650887573964495,S72
S72,7232,3560,24,I,1,45.0,0.0,7136.0,3040.0,0.20408163265306123,0.10059171597633136,S71
S87,14144,10800,8,O,1,0.0,126.0,14144.0,10800.0,0.37755102040816324,0.09467455621301775,S88
S88,12000,10800,8,I,1,225.0,0.0,12000.0,10800.0,0.3979591836734694,0.11686390532544379,S87
S1170,8096,20120,41,I,1,54.0,0.0,7040.0,20120.0,0.061224489795918366,0.02440828402366864,S1171
S1171,9760,20120,51,I,1,36.0,0.0,9888.0,18560.0,0.01020408163265306,0.005547337278106509,S1170
S1172,9664,12600,35,I,1,36.0,0.0,9120.0,12880.0,0.061224489795918366,0.014053254437869823,S1173
S1173,9760,12600,60,II,2,72.0,0.0,10208.0,11960.0,0.05612244897959184,0.06360946745562131,S1172
S1220,1952,3440,136,IOI,3,54.0,27.0,1429.3333333333333,4493.333333333333,0.47959183673469385,0.0643491124260355,S1221
S1221,2720,3440,62,I,1,36.0,0.0,3424.0,2160.0,0.39285714285714285,0.04585798816568047,S1220
S1309,14144,12560,10,O,1,0.0,126.0,14144.0,12640.0,0.20408163265306123,0.0632396449704142,S1310
S1310,12032,12560,8,I,1,36.0,0.0,12032.0,12560.0,0.6428571428571429,0.14829881656804733,S1309
S1313,11392,12920,42,I,1,36.0,0.0,11264.0,11720.0,0.7448979591836735,0.12093195266272189,S1314
S1314,12864,12920,51,O,1,0.0,225.0,13760.0,13520.0,0.3826530612244898,0.08542899408284024,S1313
S1315,12288,12560,108,II,2,76.5,0.0,11440.0,11120.0,0.41836734693877553,0.11316568047337278,S1316
S1316,14048,12560,8,O,1,0.0,225.0,14048.0,12560.0,0.23979591836734693,0.0669378698224852,S1315
S1321,11904,12080,34,I,1,45.0,0.0,11904.0,11040.0,0.6020408163265306,0.10872781065088757,S1322
S1322,14048,12080,8,O,1,0.0,225.0,14048.0,12080.0,0.32653061224489793,0.07248520710059171,S1321
